flujo_id,flujo,fecha,valor_comercio
1,Importaciones,3/1/2018,298393239
1,Importaciones,4/1/2018,354763108
1,Importaciones,5/1/2018,325503710
1,Importaciones,6/1/2018,316308744
1,Importaciones,7/1/2018,315655760
1,Importaciones,8/1/2018,342550414
1,Importaciones,9/1/2018,287724605
1,Importaciones,10/1/2018,348061787
1,Importaciones,11/1/2018,307991726
1,Importaciones,12/1/2018,301164230
1,Importaciones,1/1/2019,314050530
1,Importaciones,2/1/2019,269806829
1,Importaciones,3/1/2019,275434579
1,Importaciones,4/1/2019,300413386
1,Importaciones,5/1/2019,327430573
1,Importaciones,6/1/2019,341037327
1,Importaciones,7/1/2019,400406505
1,Importaciones,8/1/2019,417633724
1,Importaciones,9/1/2019,354026033
1,Importaciones,10/1/2019,366669009
1,Importaciones,11/1/2019,371136096
1,Importaciones,12/1/2019,389763965
1,Importaciones,1/1/2020,396208829
1,Importaciones,2/1/2020,339220812
1,Importaciones,3/1/2020,323165684
1,Importaciones,4/1/2020,197222163
1,Importaciones,5/1/2020,160496515
1,Importaciones,6/1/2020,210075409
1,Importaciones,7/1/2020,235154661
1,Importaciones,8/1/2020,233668991
1,Importaciones,9/1/2020,262445552
1,Importaciones,10/1/2020,313951804
1,Importaciones,11/1/2020,373926376
1,Importaciones,12/1/2020,433757367
1,Importaciones,1/1/2021,342356532
1,Importaciones,2/1/2021,318393341
1,Importaciones,3/1/2021,398220614
1,Importaciones,4/1/2021,415196839
1,Importaciones,5/1/2021,448518306
1,Importaciones,6/1/2021,464878371
1,Importaciones,7/1/2021,481890437
1,Importaciones,8/1/2021,492877138
1,Importaciones,9/1/2021,435445053
1,Importaciones,10/1/2021,433671400
1,Importaciones,11/1/2021,444190540
1,Importaciones,12/1/2021,431650192
1,Importaciones,1/1/2022,391976246
1,Importaciones,2/1/2022,386257806
1,Importaciones,3/1/2022,460399237
1,Importaciones,4/1/2022,422209473
1,Importaciones,5/1/2022,502922310
1,Importaciones,6/1/2022,498312434
1,Importaciones,7/1/2022,486958744
1,Importaciones,8/1/2022,577417005
1,Importaciones,9/1/2022,521911561
1,Importaciones,10/1/2022,561693896
1,Importaciones,11/1/2022,559349855
1,Importaciones,12/1/2022,511785603
1,Importaciones,1/1/2023,488840352
1,Importaciones,2/1/2023,445500369
1,Importaciones,3/1/2023,527165276
1,Importaciones,4/1/2023,431124015
1,Importaciones,5/1/2023,525505868
1,Importaciones,6/1/2023,484900542
1,Importaciones,7/1/2023,515319094
1,Importaciones,8/1/2023,567655244
1,Importaciones,9/1/2023,509631720
1,Importaciones,10/1/2023,569437514
1,Importaciones,11/1/2023,571950050
1,Importaciones,12/1/2023,616126023
1,Importaciones,1/1/2024,535000677
1,Importaciones,2/1/2024,539637749
1,Importaciones,3/1/2024,501058798
1,Importaciones,4/1/2024,649023053
1,Importaciones,5/1/2024,613443303
1,Importaciones,6/1/2024,552926873
1,Importaciones,7/1/2024,716796745
1,Importaciones,8/1/2024,695253668
1,Importaciones,9/1/2024,574499825
1,Importaciones,10/1/2024,649014825
1,Importaciones,11/1/2024,708840899
1,Importaciones,12/1/2024,756308988
1,Importaciones,1/1/2025,633993040
1,Importaciones,2/1/2025,585821010
1,Importaciones,3/1/2025,667213911
1,Importaciones,4/1/2025,644166860
1,Importaciones,5/1/2025,701673467
1,Importaciones,6/1/2025,774875447
1,Importaciones,7/1/2025,773545325
1,Importaciones,8/1/2025,807117077
1,Importaciones,9/1/2025,881867613
1,Importaciones,10/1/2025,877379219
1,Importaciones,11/1/2025,723746706
2,Exportaciones,1/1/2006,27885366
2,Exportaciones,2/1/2006,25928845
2,Exportaciones,3/1/2006,28057798
2,Exportaciones,4/1/2006,27050963
2,Exportaciones,5/1/2006,29612996
2,Exportaciones,6/1/2006,29779989
2,Exportaciones,7/1/2006,28174037
2,Exportaciones,8/1/2006,29335592
2,Exportaciones,9/1/2006,29437492
2,Exportaciones,10/1/2006,33909404
2,Exportaciones,11/1/2006,31738618
2,Exportaciones,12/1/2006,30576081
2,Exportaciones,1/1/2007,32968895
2,Exportaciones,2/1/2007,31161699
2,Exportaciones,3/1/2007,35271218
2,Exportaciones,4/1/2007,35137401
2,Exportaciones,5/1/2007,37723001
2,Exportaciones,6/1/2007,37479592
2,Exportaciones,7/1/2007,38579930
2,Exportaciones,8/1/2007,36097389
2,Exportaciones,9/1/2007,32507377
2,Exportaciones,10/1/2007,33910493
2,Exportaciones,11/1/2007,35313609
2,Exportaciones,12/1/2007,38443290
2,Exportaciones,1/1/2008,35307648
2,Exportaciones,2/1/2008,39156713
2,Exportaciones,3/1/2008,37501202
2,Exportaciones,4/1/2008,43514514
2,Exportaciones,5/1/2008,43581786
2,Exportaciones,6/1/2008,44156521
2,Exportaciones,7/1/2008,47079594
2,Exportaciones,8/1/2008,56512850
2,Exportaciones,9/1/2008,57564868
2,Exportaciones,10/1/2008,40883903
2,Exportaciones,11/1/2008,40053748
2,Exportaciones,12/1/2008,48462326
2,Exportaciones,1/1/2009,40545981
2,Exportaciones,2/1/2009,38673553
2,Exportaciones,3/1/2009,42756072
2,Exportaciones,4/1/2009,37511501
2,Exportaciones,5/1/2009,38806656
2,Exportaciones,6/1/2009,41686461
2,Exportaciones,7/1/2009,35842386
2,Exportaciones,8/1/2009,35315764
2,Exportaciones,9/1/2009,35398399
2,Exportaciones,10/1/2009,37982291
2,Exportaciones,11/1/2009,39736139
2,Exportaciones,12/1/2009,43279557
2,Exportaciones,1/1/2010,36569938
2,Exportaciones,2/1/2010,39002244
2,Exportaciones,3/1/2010,53329396
2,Exportaciones,4/1/2010,43909396
2,Exportaciones,5/1/2010,55663140
2,Exportaciones,6/1/2010,53669616
2,Exportaciones,7/1/2010,55863063
2,Exportaciones,8/1/2010,57793142
2,Exportaciones,9/1/2010,56021020
2,Exportaciones,10/1/2010,60999820
2,Exportaciones,11/1/2010,61444568
2,Exportaciones,12/1/2010,60449473
2,Exportaciones,1/1/2011,61044003
2,Exportaciones,2/1/2011,65695171
2,Exportaciones,3/1/2011,80872463
2,Exportaciones,4/1/2011,80081326
2,Exportaciones,5/1/2011,85428286
2,Exportaciones,6/1/2011,85801133
2,Exportaciones,7/1/2011,79188092
2,Exportaciones,8/1/2011,89399466
2,Exportaciones,9/1/2011,80824955
2,Exportaciones,10/1/2011,83488597
2,Exportaciones,11/1/2011,78996227
2,Exportaciones,12/1/2011,86203722
2,Exportaciones,1/1/2012,92503044
2,Exportaciones,2/1/2012,88270973
2,Exportaciones,3/1/2012,98110652
2,Exportaciones,4/1/2012,98195303
2,Exportaciones,5/1/2012,118087904
2,Exportaciones,6/1/2012,103546398
2,Exportaciones,7/1/2012,106800620
2,Exportaciones,8/1/2012,114809356
2,Exportaciones,9/1/2012,109156083
2,Exportaciones,10/1/2012,111516024
2,Exportaciones,11/1/2012,101633318
2,Exportaciones,12/1/2012,97120968
2,Exportaciones,1/1/2013,93015309
2,Exportaciones,2/1/2013,104857366
2,Exportaciones,3/1/2013,99003731
2,Exportaciones,4/1/2013,96489874
2,Exportaciones,5/1/2013,96100391
2,Exportaciones,6/1/2013,90630572
2,Exportaciones,7/1/2013,98228537
2,Exportaciones,8/1/2013,107708114
2,Exportaciones,9/1/2013,92223741
2,Exportaciones,10/1/2013,104464709
2,Exportaciones,11/1/2013,104614533
2,Exportaciones,12/1/2013,96863599
2,Exportaciones,1/1/2014,96226080
2,Exportaciones,2/1/2014,90942810
2,Exportaciones,3/1/2014,113156369
2,Exportaciones,4/1/2014,106650975
2,Exportaciones,5/1/2014,124091414
2,Exportaciones,6/1/2014,124749414
2,Exportaciones,7/1/2014,136743513
2,Exportaciones,8/1/2014,124778710
2,Exportaciones,9/1/2014,126412244
2,Exportaciones,10/1/2014,135401629
2,Exportaciones,11/1/2014,121059163
2,Exportaciones,12/1/2014,137010089
2,Exportaciones,1/1/2015,117779645
2,Exportaciones,2/1/2015,128756343
2,Exportaciones,3/1/2015,149220453
2,Exportaciones,4/1/2015,132054261
2,Exportaciones,5/1/2015,133696482
